CTYNAME,IYR,EYR,BAL,M49
Kosovo,2.679018,10.070786,7.391768,#N/A
Montserrat,1.008878,9.708109,8.699231,500
Central African Republic,2.156139,11.178603,9.022464,140
Croatia,436.450009,447.955755,11.505746,191
Maldives,22.048524,34.373287,12.324763,462
Tonga,3.600075,16.719457,13.119382,776
South Sudan,0.279923,13.57431,13.294387,728
Tajikistan,0.931554,17.911115,16.979561,762
Belize,277.87302,294.920783,17.047763,084
Palau,0.573544,19.432665,18.859121,585
Zambia,66.050933,85.149483,19.09855,894
Kyrgyzstan,6.458688,26.066859,19.608171,417
Albania,41.596733,62.086804,20.490071,008
Tanzania,123.676634,145.242068,21.565434,834
Rwanda,43.652957,66.140569,22.487612,646
Bolivia,566.857112,594.703634,27.846522,068
Uganda,79.22576,107.869624,28.643864,800
Sierra Leone,46.647937,79.185252,32.537315,694
Samoa,4.952251,38.309271,33.35702,882
Mozambique,145.516783,179.126068,33.609285,508
Bhutan,1.159825,34.892754,33.732929,064
Cyprus,47.385349,82.40193,35.016581,196
Niger,7.228066,44.082049,36.853983,562
Gambia,0.964313,39.235769,38.271456,270
Cameroon,118.47486,158.845783,40.370923,120
Micronesia,0.92072,44.827548,43.906828,583
Liberia,91.182988,138.340637,47.157649,430
Anguilla,4.562085,59.409382,54.847297,660
Burkina Faso,5.054853,60.978397,55.923544,854
Sudan,13.052356,69.654352,56.601996,729
Mali,2.920073,62.01555,59.095477,466
Guyana,313.568783,377.349484,63.780701,328
Mauritania,61.454164,127.77739,66.323226,478
Somalia,0.986868,70.594917,69.608049,706
French Polynesia,49.171826,119.798493,70.626667,258
Mongolia,9.402371,82.192362,72.789991,496
Iran,63.099116,136.000618,72.901502,364
St Vincent and the Grenadines,4.905778,81.348131,76.442353,670
Tunisia,461.607598,543.575125,81.967527,788
Grenada,12.107771,102.991413,90.883642,308
Guinea,5.852708,103.022431,97.169723,324
Brunei,22.800185,121.111606,98.311421,096
Ghana,750.392551,859.971235,109.578684,288
Uzbekistan,14.276129,136.094699,121.81857,860
Djibouti,34.184354,157.467862,123.283508,262
Malta,162.694395,293.009573,130.315178,470
Senegal,72.401701,207.93405,135.532349,686
Azerbaijan,211.852556,354.555299,142.702743,031
French Guiana,3.187726,162.74323,159.555504,254
Martinique,5.779864,168.255979,162.476115,474
Dominica,1.26785,178.447184,177.179334,212
Yemen,9.542905,199.030638,189.487733,887
St Kitts and Nevis,47.591381,243.537203,195.945822,659
Benin,17.819464,250.13587,232.316406,204
Jordan,1687.283577,1920.88633,233.602753,400
Guadeloupe,1.734023,244.842196,243.108173,312
Georgia,130.553045,382.865271,252.312226,268
Turkmenistan,13.816278,282.178944,268.362666,795
Cuba,0,291.276873,291.276873,192
Suriname,67.38538,359.542397,292.157017,740
Turkey,9412.994244,9741.491909,328.497665,792
Turks and Caicos Islands,8.434074,369.866125,361.432051,796
British Virgin Islands,6.656112,377.227746,370.571634,092
Norway,5050.922965,5453.37072,402.447755,578
Macau,95.393428,502.136131,406.742703,446
Antigua and Barbuda,11.731838,425.623529,413.891691,028
Togo,14.619864,481.810854,467.19099,768
Sint Maarten,71.124049,545.15619,474.032141,534
Barbados,48.578757,525.452357,476.8736,052
Haiti,919.654902,1410.575337,490.920435,332
Honduras,4581.225214,5079.663953,498.438739,340
Marshall Islands,35.531484,556.988101,521.456617,584
St Lucia,35.173898,572.438902,537.265004,662
Curacao,150.608451,692.167798,541.559347,531
Luxembourg,493.778311,1078.074731,584.29642,442
Ethiopia,291.453889,877.152409,585.69852,231
El Salvador,2470.451568,3057.896029,587.444461,222
Bermuda,33.410392,693.65006,660.239668,060
Ukraine,1019.768093,1787.9993,768.231207,804
Cayman Islands,54.049616,885.800982,831.751366,136
Oman,1067.337708,1985.049832,917.712124,512
Afghanistan,14.423622,941.42806,927.004438,004
Aruba,35.110915,966.305683,931.194768,533
Morocco,1232.740382,2219.661823,986.921441,504
Uruguay,584.122219,1599.284155,1015.161936,858
Lebanon,128.560481,1221.529041,1092.96856,422
Gibraltar,0.636481,1126.417629,1125.781148,292
Peru,7282.80966,8662.61201,1379.80235,604
Costa Rica,4563.802302,6169.60881,1605.806508,188
Jamaica,337.379042,2105.505325,1768.126283,388
Qatar,1196.684873,3124.095821,1927.410948,634
Kuwait,2925.88177,5143.414006,2217.532236,414
Egypt,1636.929566,3991.832766,2354.9032,818
Bahamas,524.283189,3057.271998,2532.988809,044
Paraguay,125.159042,2719.236832,2594.07779,600
Guatemala,4014.724538,6895.337671,2880.613133,320
Chile,10551.01681,13605.34259,3054.325785,152
Dominican Republic,4746.199698,7827.520352,3081.320654,214
United Kingdom,53060.32566,56257.92255,3197.596888,826
Argentina,4780.340141,9585.957928,4805.617787,032
Panama,442.524123,6301.303156,5858.779033,591
Brazil,29451.76046,37221.56625,7769.805789,076
Singapore,19367.47228,29805.91515,10438.44288,702
Australia,10045.30687,24526.83592,14481.52905,036
Belgium,14997.48565,29923.69246,14926.20681,056
United Arab Emirates,4268.819362,20019.69648,15750.87712,784
Netherlands,17784.86024,41510.33296,23725.47273,528
Hong Kong,7376.291732,39939.13023,32562.8385,344
